id	name	type	class	set	rarity	race	cost	attack	health	power
0	Wisp	Minion	Neutral	Expert	Common		0	1	1	
1	Flame Imp	Minion	Warlock	Expert	Common	Demon	1	3	2	Battlecry: Deal 3 damage to your hero.
2	Dust Devil	Minion	Shaman	Expert	Common		1	3	1	Windfury. Overload: (2)
3	Mana Wyrm	Minion	Mage	Expert	Common		1	1	3	"Whenever you cast a spell, gain +1 Attack."
4	Northshire Cleric	Minion	Priest	Basic	Free		1	1	3	"Whenever a minion is healed, draw a card."
5	Voidwalker	Minion	Warlock	Basic	Free	Demon	1	1	3	Taunt
6	Abusive Sergeant	Minion	Neutral	Expert	Common		1	2	1	Battlecry: Give a minion +2 Attack this turn.
7	Leper Gnome	Minion	Neutral	Expert	Common		1	2	1	Deathrattle: Deal 2 damage to the enemy hero.
8	Murloc Raider	Minion	Neutral	Basic	Free	Murloc	1	2	1	
9	Southsea Deckhand	Minion	Neutral	Expert	Common	Pirate	1	2	1	Has Charge while you have a weapon equipped.
10	Voodoo Doctor	Minion	Neutral	Basic	Free		1	2	1	Battlecry: Restore 2 Health.
11	Worgen Infiltrator	Minion	Neutral	Expert	Common		1	2	1	Stealth
12	Young Priestess	Minion	Neutral	Expert	Rare		1	2	1	"At the end of your turn, give another random friendly minion +1 Health."
13	Bloodsail Corsair	Minion	Neutral	Expert	Rare	Pirate	1	1	2	Battlecry: Remove 1 Durability from your opponent's weapon.
14	Goldshire Footman	Minion	Neutral	Basic	Free		1	1	2	Taunt
15	Hungry Crab	Minion	Neutral	Expert	Epic	Beast	1	1	2	Battlecry: Destroy a Murloc and gain +2/+2.
16	Lightwarden	Minion	Neutral	Expert	Rare		1	1	2	"Whenever a character is healed, gain +2 Attack."
17	Murloc Tidecaller	Minion	Neutral	Expert	Rare	Murloc	1	1	2	"Whenever a Murloc is summoned, gain +1 Attack."
18	Secretkeeper	Minion	Neutral	Expert	Rare		1	1	2	"Whenever a Secret is played, gain +1/+1."
19	Angry Chicken	Minion	Neutral	Expert	Rare	Beast	1	1	1	Enrage: +5 Attack.
20	Argent Squire	Minion	Neutral	Expert	Common		1	1	1	Divine Shield
21	Elven Archer	Minion	Neutral	Basic	Free		1	1	1	Battlecry: Deal 1 damage.
22	Grimscale Oracle	Minion	Neutral	Basic	Free	Murloc	1	1	1	ALL other Murlocs have +1 Attack.
23	Stonetusk Boar	Minion	Neutral	Basic	Free	Beast	1	1	1	Charge
24	Timber Wolf	Minion	Hunter	Basic	Free	Beast	1	1	1	Your other Beasts have +1 Attack.
25	Young Dragonhawk	Minion	Neutral	Expert	Common	Beast	1	1	1	Windfury
26	Blood Imp	Minion	Warlock	Expert	Common	Demon	1	0	1	"Stealth. At the end of your turn, give another random friendly minion +1 Health."
27	Shieldbearer	Minion	Neutral	Expert	Common		1	0	4	Taunt
28	Ancient Watcher	Minion	Neutral	Expert	Rare		2	4	5	Can't Attack.
29	Millhouse Manastorm	Minion	Neutral	Expert	Legendary		2	4	4	Battlecry: Enemy spells cost (0) next turn.
30	Succubus	Minion	Warlock	Basic	Free	Demon	2	4	3	Battlecry: Discard a random card.
31	Acidic Swamp Ooze	Minion	Neutral	Basic	Free		2	3	2	Battlecry: Destroy your opponent's weapon.
32	Bloodfen Raptor	Minion	Neutral	Basic	Free	Beast	2	3	2	
33	Faerie Dragon	Minion	Neutral	Expert	Common	Dragon	2	3	2	Can't be targeted by Spells or Hero Powers.
34	Knife Juggler	Minion	Neutral	Expert	Rare		2	3	2	"After you summon a minion, deal 1 damage to a random enemy."
35	Mad Bomber	Minion	Neutral	Expert	Common		2	3	2	Battlecry: Deal 3 damage randomly split between all other characters.
36	Sorcerer's Apprentice	Minion	Mage	Expert	Common		2	3	2	Your spells cost (1) less.
37	Wild Pyromancer	Minion	Neutral	Expert	Rare		2	3	2	"After you cast a spell, deal 1 damage to ALL minions."
38	Youthful Brewmaster	Minion	Neutral	Expert	Common		2	3	2	Battlecry: Return a friendly minion from the battlefield to your hand.
39	Amani Berserker	Minion	Neutral	Expert	Common		2	2	3	Enrage: +3 Attack
40	Bloodsail Raider	Minion	Neutral	Expert	Common	Pirate	2	2	3	Battlecry: Gain Attack equal to the Attack of your weapon.
41	River Crocolisk	Minion	Neutral	Basic	Free	Beast	2	2	3	
42	Sunfury Protector	Minion	Neutral	Expert	Rare		2	2	3	Battlecry: Give adjacent minions Taunt.
43	Argent Protector	Minion	Paladin	Expert	Common		2	2	2	Battlecry: Give a friendly minion Divine Shield.
44	Crazed Alchemist	Minion	Neutral	Expert	Rare		2	2	2	Battlecry: Swap the Attack and Health of a minion.
45	Cruel Taskmaster	Minion	Warrior	Expert	Common		2	2	2	Battlecry: Deal 1 damage to a minion and give it +2 Attack.
46	Defias Ringleader	Minion	Rogue	Expert	Common		2	2	2	Combo: Summon a 2/1 Defias Bandit.
47	Dire Wolf Alpha	Minion	Neutral	Expert	Common	Beast	2	2	2	Adjacent minions have +1 Attack.
48	Frostwolf Grunt	Minion	Neutral	Basic	Free		2	2	2	Taunt
49	Kobold Geomancer	Minion	Neutral	Basic	Free		2	2	2	Spell Damage +1
50	Mana Wraith	Minion	Neutral	Expert	Rare		2	2	2	ALL minions cost (1) more.
51	Pint-Sized Summoner	Minion	Neutral	Expert	Rare		2	2	2	The first minion you play each turn costs (1) less.
52	Scavenging Hyena	Minion	Hunter	Expert	Common	Beast	2	2	2	"Whenever a friendly Beast dies, gain +2/+1."
53	Armorsmith	Minion	Warrior	Expert	Rare		2	1	4	"Whenever a friendly minion takes damage, gain 1 Armor."
54	Mana Addict	Minion	Neutral	Expert	Rare		2	1	3	"Whenever you cast a spell, gain +2 Attack this turn."
55	Master Swordsmith	Minion	Neutral	Expert	Rare		2	1	3	"At the end of your turn, give another random friendly minion +1 Attack."
56	Bluegill Warrior	Minion	Neutral	Basic	Free	Murloc	2	2	1	Charge
57	Ironbeak Owl	Minion	Neutral	Expert	Common	Beast	2	2	1	Battlecry: Silence a minion.
58	Loot Hoarder	Minion	Neutral	Expert	Common		2	2	1	Deathrattle: Draw a card.
59	Murloc Tidehunter	Minion	Neutral	Basic	Free	Murloc	2	2	1	Battlecry: Summon a 1/1 Murloc Scout.
60	Starving Buzzard	Minion	Hunter	Basic	Free	Beast	2	2	1	"Whenever you summon a Beast, draw a card."
61	Bloodmage Thalnos	Minion	Neutral	Expert	Legendary		2	1	1	Spell Damage +1. Deathrattle: Draw a card.
62	Captain's Parrot	Minion	Neutral	Reward	Epic	Beast	2	1	1	Battlecry: Put a random Pirate from your deck into your hand.
63	Novice Engineer	Minion	Neutral	Basic	Free		2	1	1	Battlecry: Draw a card.
64	Patient Assassin	Minion	Rogue	Expert	Epic		2	1	1	Stealth. Destroy any minion damaged by this minion.
65	Doomsayer	Minion	Neutral	Expert	Epic		2	0	7	"At the start of your turn, destroy ALL minions."
66	Flametongue Totem	Minion	Shaman	Basic	Free	Totem	2	0	3	Adjacent minions have +2 Attack.
67	Lightwell	Minion	Priest	Expert	Rare		2	0	5	"At the start of your turn, restore 3 Health to a damaged friendly character."
68	Lorewalker Cho	Minion	Neutral	Expert	Legendary		2	0	4	"Whenever a player casts a spell, put a copy into the other player's hand."
69	Nat Pagle	Minion	Neutral	Expert	Legendary		2	0	4	"At the start of your turn, you have a 50% chance to draw an extra card."
70	Injured Blademaster	Minion	Neutral	Expert	Rare		3	4	7	Battlecry: Deal 4 damage to HIMSELF.
71	King Mukla	Minion	Neutral	Expert	Legendary	Beast	3	5	5	Battlecry: Give your opponent 2 Bananas.
72	Felguard	Minion	Warlock	Expert	Rare	Demon	3	3	5	Taunt. Battlecry: Destroy one of your Mana Crystals.
73	Kirin Tor Mage	Minion	Mage	Expert	Rare		3	4	3	Battlecry: The next Secret you play this turn costs (0).
74	Aldor Peacekeeper	Minion	Paladin	Expert	Rare		3	3	3	Battlecry: Change an enemy minion's Attack to 1.
75	Blood Knight	Minion	Neutral	Expert	Epic		3	3	3	Battlecry: All minions lose Divine Shield. Gain +3/+3 for each Shield lost.
76	Earthen Ring Farseer	Minion	Neutral	Expert	Common		3	3	3	Battlecry: Restore 3 Health.
77	Ironfur Grizzly	Minion	Neutral	Basic	Free	Beast	3	3	3	Taunt
78	Mind Control Tech	Minion	Neutral	Expert	Rare		3	3	3	"Battlecry: If your opponent has 4 or more minions, take control of one at random."
79	Murloc Warleader	Minion	Neutral	Expert	Epic	Murloc	3	3	3	ALL other Murlocs have +2/+1.
80	Raging Worgen	Minion	Neutral	Expert	Common		3	3	3	Enrage: Windfury and +1 Attack
81	SI:7 Agent	Minion	Rogue	Expert	Rare		3	3	3	Combo: Deal 2 damage.
82	Southsea Captain	Minion	Neutral	Expert	Epic	Pirate	3	3	3	Your other Pirates have +1/+1.
83	Tinkmaster Overspark	Minion	Neutral	Expert	Legendary		3	3	3	Battlecry: Transform another random minion into a 5/5 Devilsaur or a 1/1 Squirrel.
84	Void Terror	Minion	Warlock	Expert	Rare	Demon	3	3	3	Battlecry: Destroy the minions on either side of this minion and gain their Attack and Health.
85	Arcane Golem	Minion	Neutral	Expert	Rare		3	4	2	Charge. Battlecry: Give your opponent a Mana Crystal.
86	Big Game Hunter	Minion	Neutral	Expert	Epic		3	4	2	Battlecry: Destroy a minion with an Attack of 7 or more.
87	Jungle Panther	Minion	Neutral	Expert	Common	Beast	3	4	2	Stealth
88	Frothing Berserker	Minion	Warrior	Expert	Rare		3	2	4	"Whenever a minion takes damage, gain +1 Attack."
89	Unbound Elemental	Minion	Shaman	Expert	Common		3	2	4	"Whenever you play a card with Overload, gain +1/+1."
90	Shattered Sun Cleric	Minion	Neutral	Basic	Free		3	3	2	Battlecry: Give a friendly minion +1/+1.
91	Coldlight Seer	Minion	Neutral	Expert	Rare	Murloc	3	2	3	Battlecry: Give ALL other Murlocs +2 Health.
92	Emperor Cobra	Minion	Neutral	Expert	Rare	Beast	3	2	3	Destroy any minion damaged by this minion.
93	Flesheating Ghoul	Minion	Neutral	Expert	Common		3	2	3	"Whenever a minion dies, gain +1 Attack."
94	Harvest Golem	Minion	Neutral	Expert	Common		3	2	3	Deathrattle: Summon a 2/1 Damaged Golem.
95	Razorfen Hunter	Minion	Neutral	Basic	Free		3	2	3	Battlecry: Summon a 1/1 Boar.
96	Tauren Warrior	Minion	Neutral	Expert	Common		3	2	3	Taunt. Enrage: +3 Attack
97	Thrallmar Farseer	Minion	Neutral	Expert	Common		3	2	3	Windfury
98	Warsong Commander	Minion	Warrior	Basic	Free		3	2	3	"Whenever you summon a minion with 3 or less Attack, give it Charge."
99	Magma Rager	Minion	Neutral	Basic	Free		3	5	1	
100	Imp Master	Minion	Neutral	Expert	Rare		3	1	5	"At the end of your turn, deal 1 damage to this minion and summon a 1/1 Imp."
101	Coldlight Oracle	Minion	Neutral	Expert	Rare	Murloc	3	2	2	Battlecry: Each player draws 2 cards.
102	Edwin VanCleef	Minion	Rogue	Expert	Legendary		3	2	2	Combo: Gain +2/+2 for each card played earlier this turn.
103	Ironforge Rifleman	Minion	Neutral	Basic	Free		3	2	2	Battlecry: Deal 1 damage.
104	Questing Adventurer	Minion	Neutral	Expert	Rare		3	2	2	"Whenever you play a card, gain +1/+1."
105	Raid Leader	Minion	Neutral	Basic	Free		3	2	2	Your other minions have +1 Attack.
106	Dalaran Mage	Minion	Neutral	Basic	Free		3	1	4	Spell Damage +1
107	Demolisher	Minion	Neutral	Expert	Rare		3	1	4	"At the start of your turn, deal 2 damage to a random enemy."
108	Silverback Patriarch	Minion	Neutral	Basic	Free	Beast	3	1	4	Taunt
109	Scarlet Crusader	Minion	Neutral	Expert	Common		3	3	1	Divine Shield
110	Wolfrider	Minion	Neutral	Basic	Free		3	3	1	Charge
111	Acolyte of Pain	Minion	Neutral	Expert	Common		3	1	3	"Whenever this minion takes damage, draw a card."
112	Alarm-o-Bot	Minion	Neutral	Expert	Rare		3	0	3	"At the start of your turn, swap this minion with a random one in your hand."
113	Mana Tide Totem	Minion	Shaman	Expert	Rare	Totem	3	0	3	"At the end of your turn, draw a card."
114	Pit Lord	Minion	Warlock	Expert	Epic	Demon	4	5	6	Battlecry: Deal 5 damage to your hero.
115	Ancient Brewmaster	Minion	Neutral	Expert	Common		4	5	4	Battlecry: Return a friendly minion from the battlefield to your hand.
116	Chillwind Yeti	Minion	Neutral	Basic	Free		4	4	5	
117	Water Elemental	Minion	Mage	Basic	Free		4	3	6	Freeze any character damaged by this minion.
118	Dark Iron Dwarf	Minion	Neutral	Expert	Common		4	4	4	Battlecry: Give a minion +2 Attack this turn.
119	Master of Disguise	Minion	Rogue	Expert	Rare		4	4	4	Battlecry: Give a friendly minion Stealth.
120	Ogre Magi	Minion	Neutral	Basic	Free		4	4	4	Spell Damage +1
121	Auchenai Soulpriest	Minion	Priest	Expert	Rare		4	3	5	Your cards and powers that restore Health now deal damage instead.
122	Sen'jin Shieldmasta	Minion	Neutral	Basic	Free		4	3	5	Taunt
123	Violet Teacher	Minion	Neutral	Expert	Rare		4	3	5	"Whenever you cast a spell, summon a 1/1 Violet Apprentice."
124	Oasis Snapjaw	Minion	Neutral	Basic	Free	Beast	4	2	7	
125	Leeroy Jenkins	Minion	Neutral	Expert	Legendary		4	6	2	Charge. Battlecry: Summon two 1/1 Whelps for your opponent.
126	Houndmaster	Minion	Hunter	Basic	Free		4	4	3	Battlecry: Give a friendly Beast +2/+2 and Taunt.
127	Kor'kron Elite	Minion	Warrior	Basic	Free		4	4	3	Charge
128	Spellbreaker	Minion	Neutral	Expert	Common		4	4	3	Battlecry: Silence a minion.
129	Ancient Mage	Minion	Neutral	Expert	Rare		4	2	5	Battlecry: Give adjacent minions Spell Damage +1.
130	Stormwind Knight	Minion	Neutral	Basic	Free		4	2	5	Charge
131	Arathi Weaponsmith	Minion	Warrior	Expert	Common		4	3	3	Battlecry: Equip a 2/2 weapon.
132	Dread Corsair	Minion	Neutral	Expert	Common	Pirate	4	3	3	Taunt. Costs (1) less per Attack of your weapon.
133	Ethereal Arcanist	Minion	Mage	Expert	Rare		4	3	3	"If you control a Secret at the end of your turn, gain +2/+2."
134	Silvermoon Guardian	Minion	Neutral	Expert	Common		4	3	3	Divine Shield
135	Windspeaker	Minion	Shaman	Basic	Free		4	3	3	Battlecry: Give a friendly minion Windfury.
