Wisp;小精灵
Flame Imp;烈焰小鬼
Dust Devil;尘魔
Mana Wyrm;法力浮龙
Northshire Cleric;北郡牧师
Voidwalker;虚空行者
Abusive Sergeant;叫嚣的中士
Leper Gnome;麻疯侏儒
Murloc Raider;鱼人袭击者
Southsea Deckhand;南海船工
Voodoo Doctor;巫医
Worgen Infiltrator;狼人渗透者
Young Priestess;年轻的女祭司
Bloodsail Corsair;血帆海盗
Goldshire Footman;闪金镇步兵
Hungry Crab;鱼人杀手蟹
Lightwarden;圣光护卫者
Murloc Tidecaller;鱼人招潮者
Secretkeeper;奥秘守护者
Angry Chicken;愤怒的小鸡
Argent Squire;银色侍从
Elven Archer;精灵弓箭手
Grimscale Oracle;暗鳞先知
Stonetusk Boar;石牙野猪
Timber Wolf;森林狼
Young Dragonhawk;幼龙鹰
Blood Imp;鲜血小鬼
Shieldbearer;持盾卫士
Ancient Watcher;上古看守者
Millhouse Manastorm;米尔豪斯·法力风暴
Succubus;魅魔
Acidic Swamp Ooze;酸性沼泽软泥怪
Bloodfen Raptor;血沼迅猛龙
Faerie Dragon;精灵龙
Knife Juggler;飞刀杂耍者
Mad Bomber;疯狂投弹者
Sorcerer's Apprentice;巫师学徒
Wild Pyromancer;狂野炎术师
Youthful Brewmaster;年轻的酒仙
Amani Berserker;阿曼尼狂战士
Bloodsail Raider;血帆袭击者
River Crocolisk;淡水鳄
Sunfury Protector;日怒保卫者
Argent Protector;银色保卫者
Crazed Alchemist;疯狂的炼金师
Cruel Taskmaster;严酷的监工
Defias Ringleader;迪菲亚头目
Dire Wolf Alpha;恐狼前锋
Frostwolf Grunt;霜狼步兵
Kobold Geomancer;狗头人地卜师
Mana Wraith;法力怨魂
Pint-Sized Summoner;小个子召唤师
Scavenging Hyena;食腐土狼
Armorsmith;铸甲师
Mana Addict;魔瘾者
Master Swordsmith;铸剑师
Bluegill Warrior;蓝腮战士
Ironbeak Owl;铁喙猫头鹰
Loot Hoarder;战利品贮藏者
Murloc Tidehunter;鱼人猎潮者
Starving Buzzard;饥饿的秃鹫
Bloodmage Thalnos;血法师萨尔诺斯
Captain's Parrot;船长的鹦鹉
Novice Engineer;工程师学徒
Patient Assassin;耐心的刺客
Doomsayer;末日预言者
Flametongue Totem;火舌图腾
Lightwell;光明之泉
Lorewalker Cho;游学者周卓
Nat Pagle;纳特·帕格
Injured Blademaster;负伤剑圣
King Mukla;穆克拉
Felguard;恶魔卫士
Kirin Tor Mage;肯瑞托法师
Aldor Peacekeeper;奥尔多卫士
Blood Knight;血骑士
Earthen Ring Farseer;大地之环先知
Ironfur Grizzly;铁鬃灰熊
Mind Control Tech;精神控制技师
Murloc Warleader;鱼人领军
Raging Worgen;暴怒的狼人
SI:7 Agent;军情七处特工
Southsea Captain;南海船长
Tinkmaster Overspark;工匠大师欧沃斯巴克
Void Terror;虚空恐魔
Arcane Golem;奥术傀儡
Big Game Hunter;王牌猎人
Jungle Panther;丛林猎豹
Frothing Berserker;暴乱狂战士
Unbound Elemental;无羁元素
Shattered Sun Cleric;破碎残阳祭司
Coldlight Seer;寒光先知
Emperor Cobra;帝王眼镜蛇
Flesheating Ghoul;腐肉食尸鬼
Harvest Golem;麦田傀儡
Razorfen Hunter;剃刀猎手
Tauren Warrior;牛头人战士
Thrallmar Farseer;萨尔玛先知
Warsong Commander;战歌指挥官
Magma Rager;岩浆暴怒者
Imp Master;小鬼召唤师
Coldlight Oracle;寒光智者
Edwin VanCleef;艾德温·范克里夫
Ironforge Rifleman;铁炉堡火枪手
Questing Adventurer;任务达人
Raid Leader;团队领袖
Dalaran Mage;达拉然法师
Demolisher;攻城车
Silverback Patriarch;银背族长
Scarlet Crusader;血色十字军战士
Wolfrider;狼骑兵
Acolyte of Pain;苦痛侍僧
Alarm-o-Bot;报警机器人
Mana Tide Totem;法力之潮图腾
Pit Lord;深渊领主
Ancient Brewmaster;年迈的酒仙
Chillwind Yeti;冰风雪人
Water Elemental;水元素
Dark Iron Dwarf;黑铁矮人
Master of Disguise;伪装大师
Ogre Magi;食人魔法师
Auchenai Soulpriest;奥金尼灵魂祭司
Sen'jin Shieldmasta;森金持盾卫士
Violet Teacher;紫罗兰教师
Oasis Snapjaw;绿洲钳嘴龟
Leeroy Jenkins;火车王里诺艾
Houndmaster;驯兽师
Kor'kron Elite;库卡隆精英卫士
Spellbreaker;破法者
Ancient Mage;年迈的法师
Stormwind Knight;暴风城骑士
Arathi Weaponsmith;阿拉希武器匠
Dread Corsair;恐怖海盗
Ethereal Arcanist;虚灵奥术师
Silvermoon Guardian;银月城卫兵
Windspeaker;风语者
Cult Master;诅咒教派领袖
Dragonling Mechanic;机械幼龙技工
Gnomish Inventor;侏儒发明家
Keeper of the Grove;丛林守护者
Old Murk-Eye;老瞎眼
Mogu'shan Warden;魔古山守望者
Defender of Argus;阿古斯防御者
Twilight Drake;暮光幼龙
Lightspawn;光耀之子
Summoning Portal;召唤传送门
Earth Elemental;土元素
Venture Co. Mercenary;风险投资公司雇佣兵
Doomguard;末日守卫
Elite Tauren Chieftain;精英牛头人酋长
Stranglethorn Tiger;荆棘谷猛虎
Spiteful Smith;恶毒铁匠
Booty Bay Bodyguard;藏宝海湾保镖
Captain Greenskin;绿皮船长
Harrison Jones;哈里森·琼斯
Darkscale Healer;暗鳞治愈者
Fen Creeper;沼泽爬行者
Abomination;憎恶
Azure Drake;碧蓝幼龙
Druid of the Claw;利爪德鲁伊
Frostwolf Warlord;霜狼督军
Gadgetzan Auctioneer;加基森拍卖师
Nightblade;夜刃刺客
Silver Hand Knight;白银之手骑士
Stampeding Kodo;狂奔科多兽
Gurubashi Berserker;古拉巴什狂暴者
Tundra Rhino;苔原犀牛
Faceless Manipulator;无面操纵者
Stormpike Commando;雷矛特种兵
The Beast;比斯巨兽
Boulderfist Ogre;石拳食人魔
Dread Infernal;恐惧地狱火
Gelbin Mekkatorque;格尔宾·梅卡托克
Temple Enforcer;圣殿执行者
Illidan Stormrage;伊利丹·怒风
Fire Elemental;火元素
Lord of the Arena;竞技场主宰
Savannah Highmane;长鬃草原狮
Archmage;大法师
Frost Elemental;冰霜元素
Sylvanas Windrunner;希尔瓦娜斯·风行者
Priestess of Elune;艾露恩的女祭司
Cabal Shadow Priest;秘教暗影祭司
Cairne Bloodhoof;凯恩·血蹄
Sunwalker;烈日行者
The Black Knight;黑骑士
Windfury Harpy;风怒鹰身人
Hogger;霍格
Kidnapper;劫持者
Reckless Rocketeer;鲁莽火箭兵
Argent Commander;银色指挥官
Prophet Velen;先知维纶
War Golem;作战傀儡
Core Hound;熔火恶犬
Stormwind Champion;暴风城勇士
Baron Geddon;迦顿男爵
Ravenholdt Assassin;拉文霍德刺客
Archmage Antonidas;大法师安东尼达斯
Guardian of Kings;列王守卫
Ancient of Lore;知识古树
Ancient of War;战争古树
Ironbark Protector;埃隆巴克保护者
Ragnaros the Firelord;炎魔之王拉格纳罗斯;大螺丝
Gruul;格鲁尔
Tirion Fordring;提里奥·弗丁
Grommash Hellscream;格罗玛什·地狱咆哮
Al'Akir the Windlord;风领主奥拉基尔
Alexstrasza;阿莱克丝塔萨
King Krush;暴龙王克鲁什
Nozdormu;诺兹多姆
Onyxia;奥妮克希亚
Malygos;玛里苟斯
Ysera;伊瑟拉
Lord Jaraxxus;加拉克苏斯大王
Cenarius;塞纳留斯
Deathwing;死亡之翼
Sea Giant;海巨人
Mountain Giant;山岭巨人
Molten Giant;熔核巨人
Innervate;激活
Moonfire;月火术
Claw;爪击
Naturalize;自然平衡
Savagery;野蛮之击
Mark of the Wild;野性印记
Power of the Wild;野性之力
Wild Growth;野性成长
Wrath;愤怒
Healing Touch;治疗之触
Mark of Nature;自然印记
Savage Roar;野蛮咆哮
Bite;撕咬
Soul of the Forest;丛林之魂
Swipe;横扫
Nourish;滋养
Starfall;星辰坠落
Force of Nature;自然之力
Starfire;星火术
Hunter's Mark;猎人印记
Arcane Shot;奥术射击
Bestial Wrath;狂野怒火
Flare;照明弹
Tracking;追踪术
Explosive Trap;爆炸陷阱
Freezing Trap;冰冻陷阱
Misdirection;误导
Snake Trap;毒蛇陷阱
Snipe;狙击
Animal Companion;动物伙伴
Deadly Shot;致命射击
Kill Command;杀戮命令
Unleash the Hounds;关门放狗
Multi-Shot;多重射击
Explosive Shot;爆炸射击
Arcane Missiles;奥术飞弹
Ice Lance;冰枪术
Mirror Image;镜像
Arcane Explosion;魔爆术
Frostbolt;寒冰箭
Arcane Intellect;奥术智慧
Counterspell;法术反制
Frost Nova;冰霜新星
Ice Barrier;寒冰护体
Ice Block;寒冰屏障
Mirror Entity;镜像实体
Spellbender;扰咒术
Vaporize;蒸发
Cone of Cold;冰锥术
Fireball;火球术
Polymorph;变形术
Blizzard;暴风雪
Flamestrike;烈焰风暴
Pyroblast;炎爆术
Blessing of Might;力量祝福
Blessing of Wisdom;智慧祝福
Eye for an Eye;以眼还眼
Hand of Protection;保护之手
Humility;谦逊
Noble Sacrifice;崇高牺牲
Redemption;救赎
Repentance;忏悔
Equality;生而平等
Holy Light;圣光术
Divine Favor;神恩术
Blessing of Kings;王者祝福
Consecration;奉献
Hammer of Wrath;愤怒之锤
Blessed Champion;受祝福的勇士
Holy Wrath;神圣愤怒
Avenging Wrath;复仇之怒
Lay on Hands;圣疗术
Circle of Healing;治疗之环
Silence;沉默
Holy Smite;神圣惩击
Inner Fire;心灵之火
Mind Vision;心灵视界
Power Word: Shield;真言术：盾
Divine Spirit;神圣之灵
Mind Blast;心灵震爆
Shadow Word: Pain;暗言术：痛
Shadow Word: Death;暗言术：灭
Shadowform;暗影形态
Thoughtsteal;思维窃取
Mass Dispel;群体驱散
Mindgames;控心术
Shadow Madness;暗影狂乱
Holy Nova;神圣新星
Holy Fire;神圣之火
Mind Control;精神控制
Backstab;背刺
Preparation;伺机待发
Shadowstep;暗影步
Cold Blood;冷血
Conceal;隐藏
Deadly Poison;致命药膏
Sinister Strike;影袭
Betrayal;背叛
Blade Flurry;剑刃乱舞
Eviscerate;刺骨
Sap;闷棍
Shiv;毒刃
Fan of Knives;刀扇
Headcrack;裂颅之击
Assassinate;刺杀
Vanish;消失
Sprint;疾跑
Ancestral Healing;先祖治疗
Totemic Might;图腾之力
Earth Shock;大地震击
Forked Lightning;叉状闪电
Frost Shock;冰霜震击
Lightning Bolt;闪电箭
Rockbiter Weapon;石化武器
Ancestral Spirit;先祖之魂
Windfury;风怒
Far Sight;视界术
Feral Spirit;野性狼魂
Hex;妖术
Lava Burst;熔岩爆裂
Lightning Storm;闪电风暴
Bloodlust;嗜血
Sacrificial Pact;牺牲契约
Soulfire;灵魂之火
Corruption;腐蚀术
Mortal Coil;死亡缠绕
Power Overwhelming;力量的代价
Demonfire;恶魔之火
Drain Life;吸取生命
Sense Demons;感知恶魔
Shadow Bolt;暗影箭
Hellfire;地狱烈焰
Shadowflame;暗影烈焰
Bane of Doom;末日灾祸
Siphon Soul;灵魂虹吸
Twisting Nether;扭曲虚空
Inner Rage;怒火中烧
Execute;斩杀
Shield Slam;盾牌猛击
Upgrade!;升级！
Whirlwind;旋风斩
Battle Rage;战斗怒火
Cleave;顺劈斩
Commanding Shout;命令怒吼
Heroic Strike;英勇打击
Rampage;狂暴
Slam;猛击
Charge;冲锋
Shield Block;盾牌格挡
Mortal Strike;致死打击
Brawl;绝命乱斗
Eaglehorn Bow;鹰角弓
Gladiator's Longbow;角斗士的长弓
Light's Justice;圣光的正义
Sword of Justice;公正之剑
Truesilver Champion;真银圣剑
Perdition's Blade;毁灭之刃
Assassin's Blade;刺客之刃
Stormforged Axe;雷铸战斧
Doomhammer;毁灭之锤
Fiery War Axe;炽炎战斧
Arcanite Reaper;奥金斧
Gorehowl;血吼
